Year,Total Assets,Total Invested ($),Total Value ($)
1,11.417876,120,1118.95
2,12.114468,240,4094.69
3,12.36538,360,8927.8
4,12.494655,480,15618.32
5,12.573485,600,24166.24
6,12.626577,720,34571.57
7,12.664766,840,46834.3
8,12.693555,960,60954.45
9,12.716034,1080,76932.01
10,12.734073,1200,94766.97
11,12.748869,1320,114459.35
12,12.761225,1440,136009.13
13,12.771698,1560,159416.33
14,12.780688,1680,184680.94
15,12.788489,1800,211802.95
16,12.795322,1920,240782.38
17,12.801358,2040,271619.21
18,12.806727,2160,304313.46
19,12.811536,2280,338865.11
20,12.815866,2400,375274.18
21,12.819786,2520,413540.66
22,12.823352,2640,453664.54
23,12.826609,2760,495645.84
24,12.829597,2880,539484.54
25,12.832346,3000,585180.66
26,12.834886,3120,632734.19
27,12.837237,3240,682145.12
28,12.839422,3360,733413.47
29,12.841457,3480,786539.23
30,12.843356,3600,841522.39
